Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	5.0	0.75	348565092.9944445	348565092.9944445	28695194238.772648	1.7758052209576565	psmc
gr_wolf.spain.SAMN04851099	5.0	0.76	400718142.63888896	400718142.63888896	38092681606.59172	1.9688178564342245	psmc
gr_wolf.spain.SAMN04851099	5.0	0.77	457406240.07850254	457406240.07850254	50620079421.69202	2.598496364953224	psmc
gr_wolf.spain.SAMN04851099	5.0	0.78	519247800.9217175	519247800.9217175	66119943066.27543	2.8714164700709737	psmc
gr_wolf.spain.SAMN04851099	5.0	0.79	586979034.2261909	586979034.2261909	83821687109.19562	3.5122144130752586	psmc
gr_wolf.spain.SAMN04851099	5.0	0.8	661483390.8611115	661483390.8611115	108418447910.96272	3.8851926013838343	psmc
gr_wolf.spain.SAMN04851099	5.0	0.81	743830311.3523399	743830311.3523399	137893655643.5508	4.614508511960169	psmc
gr_wolf.spain.SAMN04851099	5.0	0.82	835326889.6759254	835326889.6759254	175448018367.02304	5.37798928186865	psmc
gr_wolf.spain.SAMN04851099	5.0	0.83	937587771.3316993	937587771.3316993	224000493862.31778	5.943744956766837	psmc
gr_wolf.spain.SAMN04851099	5.0	0.84	1052631263.1944441	1052631263.1944441	280792419906.7984	6.803709930085363	psmc
gr_wolf.spain.SAMN04851099	5.0	0.85	1183013887.3055553	1183013887.3055553	348773330070.6153	7.681630751319966	psmc
gr_wolf.spain.SAMN04851099	5.0	0.86	1332022600.5753965	1332022600.5753965	446262495679.656	8.727348394952957	psmc
gr_wolf.spain.SAMN04851099	5.0	0.87	1503955731.2713675	1503955731.2713675	566704572012.0837	9.841565758542133	psmc
gr_wolf.spain.SAMN04851099	5.0	0.88	1704544383.75	1704544383.75	728887653039.6016	10.996431076037075	psmc
gr_wolf.spain.SAMN04851099	5.0	0.89	1941603700.3156571	1941603700.3156571	922620689259.1271	12.414062664583057	psmc
gr_wolf.spain.SAMN04851099	5.0	0.9	2226074880.194445	2226074880.194445	1189516684774.043	13.935957250921401	psmc
